sem_bge,comp_bge,exp_bge,form_bge,skills_raw,edu_gap_norm,domain_compat_score,label,domain_name,domain_match
0.4,0.0,1.0,0.6,0.0,0.4,0.0,0.0402,Développement React/Frontend,different
0.4,0.0,1.0,0.8,0.0,0.2,0.0,0.04,Développement React/Frontend,different
0.4,0.0,1.0,1.0,0.0,-0.2,0.0,0.0466,Développement React/Frontend,different
0.8375,0.875,1.0,1.0,0.875,0.0,1.0,0.8209,Développement Backend Python/Django,same
0.8375,0.875,1.0,1.0,0.875,0.0,1.0,0.7905,Développement Backend Python/Django,same
0.8375,0.875,1.0,1.0,0.875,0.0,1.0,0.7859,Développement Backend Python/Django,same
0.8375,0.875,1.0,0.8,0.875,0.2,1.0,0.7845,Développement Backend Python/Django,same
0.8375,0.875,1.0,0.8,0.875,0.2,1.0,0.8121,Développement Backend Python/Django,same
0.8375,0.875,1.0,0.8,0.875,0.2,1.0,0.8147,Développement Backend Python/Django,same
0.8375,0.875,1.0,0.6,0.875,0.4,1.0,0.8014,Développement Backend Python/Django,same
0.8375,0.875,1.0,0.6,0.875,0.4,1.0,0.7979,Développement Backend Python/Django,same
0.8375,0.875,1.0,0.6,0.875,0.4,1.0,0.7823,Développement Backend Python/Django,same
0.775,0.75,1.0,1.0,0.75,0.0,1.0,0.7618,Développement Backend Python/Django,same
0.775,0.75,1.0,1.0,0.75,0.0,1.0,0.7482,Développement Backend Python/Django,same
0.775,0.75,1.0,1.0,0.75,0.0,1.0,0.7201,Développement Backend Python/Django,same
0.775,0.75,1.0,0.8,0.75,0.2,1.0,0.7297,Développement Backend Python/Django,same
0.775,0.75,1.0,0.8,0.75,0.2,1.0,0.7408,Développement Backend Python/Django,same
0.775,0.75,1.0,0.8,0.75,0.2,1.0,0.7512,Développement Backend Python/Django,same
0.775,0.75,1.0,0.6,0.75,0.4,1.0,0.7504,Développement Backend Python/Django,same
0.775,0.75,1.0,0.6,0.75,0.4,1.0,0.7261,Développement Backend Python/Django,same
0.775,0.75,1.0,0.6,0.75,0.4,1.0,0.7416,Développement Backend Python/Django,same
0.7125,0.625,1.0,1.0,0.625,0.0,1.0,0.6864,Développement Backend Python/Django,same
0.7125,0.625,1.0,1.0,0.625,0.0,1.0,0.6808,Développement Backend Python/Django,same
0.7125,0.625,1.0,1.0,0.625,0.0,1.0,0.6663,Développement Backend Python/Django,same
0.7125,0.625,1.0,0.8,0.625,0.2,1.0,0.681,Développement Backend Python/Django,same
0.7125,0.625,1.0,0.8,0.625,0.2,1.0,0.6686,Développement Backend Python/Django,same
0.7125,0.625,1.0,0.8,0.625,0.2,1.0,0.6714,Développement Backend Python/Django,same
0.7125,0.625,1.0,0.6,0.625,0.4,1.0,0.6755,Développement Backend Python/Django,same
0.7125,0.625,1.0,0.6,0.625,0.4,1.0,0.6878,Développement Backend Python/Django,same
0.7125,0.625,1.0,0.6,0.625,0.4,1.0,0.6811,Développement Backend Python/Django,same
0.65,0.5,1.0,1.0,0.5,0.0,1.0,0.6049,Développement Backend Python/Django,same
0.65,0.5,1.0,1.0,0.5,0.0,1.0,0.6258,Développement Backend Python/Django,same
0.65,0.5,1.0,1.0,0.5,0.0,1.0,0.6294,Développement Backend Python/Django,same
0.65,0.5,1.0,0.8,0.5,0.2,1.0,0.6197,Développement Backend Python/Django,same
0.65,0.5,1.0,0.8,0.5,0.2,1.0,0.6347,Développement Backend Python/Django,same
0.65,0.5,1.0,0.8,0.5,0.2,1.0,0.6403,Développement Backend Python/Django,same
0.65,0.5,1.0,0.6,0.5,0.4,1.0,0.6153,Développement Backend Python/Django,same
0.65,0.5,1.0,0.6,0.5,0.4,1.0,0.6183,Développement Backend Python/Django,same
0.65,0.5,1.0,0.6,0.5,0.4,1.0,0.6139,Développement Backend Python/Django,same
0.525,0.25,1.0,1.0,0.25,0.0,1.0,0.5049,Développement Backend Python/Django,same
0.525,0.25,1.0,1.0,0.25,0.0,1.0,0.5124,Développement Backend Python/Django,same
0.525,0.25,1.0,1.0,0.25,0.0,1.0,0.5277,Développement Backend Python/Django,same
0.525,0.25,1.0,0.8,0.25,0.2,1.0,0.5294,Développement Backend Python/Django,same
0.525,0.25,1.0,0.8,0.25,0.2,1.0,0.5061,Développement Backend Python/Django,same
0.525,0.25,1.0,0.8,0.25,0.2,1.0,0.5313,Développement Backend Python/Django,same
0.525,0.25,1.0,0.6,0.25,0.4,1.0,0.5289,Développement Backend Python/Django,same
0.525,0.25,1.0,0.6,0.25,0.4,1.0,0.5126,Développement Backend Python/Django,same
0.525,0.25,1.0,0.6,0.25,0.4,1.0,0.492,Développement Backend Python/Django,same
0.525,0.25,1.0,1.0,0.25,0.0,0.65,0.3196,Développement Backend Python/Django,adjacent
0.525,0.25,1.0,0.8,0.25,0.2,0.65,0.3334,Développement Backend Python/Django,adjacent
0.525,0.25,1.0,1.0,0.25,0.0,0.65,0.3255,Développement Backend Python/Django,adjacent
0.525,0.25,1.0,0.8,0.25,0.2,0.65,0.3258,Développement Backend Python/Django,adjacent
0.525,0.25,1.0,1.0,0.25,0.0,0.65,0.3217,Développement Backend Python/Django,adjacent
0.525,0.25,1.0,0.8,0.25,0.2,0.65,0.3062,Développement Backend Python/Django,adjacent
0.4,0.0,1.0,1.0,0.0,-0.4,0.0,0.0443,Développement Backend Python/Django,different
0.4,0.0,1.0,1.0,0.0,0.0,0.0,0.0497,Développement Backend Python/Django,different
0.4,0.0,1.0,1.0,0.0,-0.4,0.0,0.0537,Développement Backend Python/Django,different
0.4,0.0,1.0,0.8,0.0,0.2,0.0,0.061,Développement Backend Python/Django,different
0.8375,0.875,1.0,1.0,0.875,0.0,1.0,0.8197,DevOps / Cloud Infrastructure,same
0.8375,0.875,1.0,1.0,0.875,0.0,1.0,0.7859,DevOps / Cloud Infrastructure,same
0.8375,0.875,1.0,1.0,0.875,0.0,1.0,0.8079,DevOps / Cloud Infrastructure,same
0.8375,0.875,1.0,0.8,0.875,0.2,1.0,0.7858,DevOps / Cloud Infrastructure,same
0.8375,0.875,1.0,0.8,0.875,0.2,1.0,0.7879,DevOps / Cloud Infrastructure,same
0.8375,0.875,1.0,0.8,0.875,0.2,1.0,0.7942,DevOps / Cloud Infrastructure,same
0.8375,0.875,1.0,0.6,0.875,0.4,1.0,0.771,DevOps / Cloud Infrastructure,same
0.8375,0.875,1.0,0.6,0.875,0.4,1.0,0.8202,DevOps / Cloud Infrastructure,same
0.8375,0.875,1.0,0.6,0.875,0.4,1.0,0.7969,DevOps / Cloud Infrastructure,same
0.775,0.75,1.0,1.0,0.75,0.0,1.0,0.7292,DevOps / Cloud Infrastructure,same
0.775,0.75,1.0,1.0,0.75,0.0,1.0,0.7384,DevOps / Cloud Infrastructure,same
0.775,0.75,1.0,1.0,0.75,0.0,1.0,0.753,DevOps / Cloud Infrastructure,same
0.775,0.75,1.0,0.8,0.75,0.2,1.0,0.7546,DevOps / Cloud Infrastructure,same
0.775,0.75,1.0,0.8,0.75,0.2,1.0,0.7467,DevOps / Cloud Infrastructure,same
0.775,0.75,1.0,0.8,0.75,0.2,1.0,0.7509,DevOps / Cloud Infrastructure,same
0.775,0.75,1.0,0.6,0.75,0.4,1.0,0.7072,DevOps / Cloud Infrastructure,same
0.775,0.75,1.0,0.6,0.75,0.4,1.0,0.7314,DevOps / Cloud Infrastructure,same
0.775,0.75,1.0,0.6,0.75,0.4,1.0,0.7362,DevOps / Cloud Infrastructure,same
0.7125,0.625,1.0,1.0,0.625,0.0,1.0,0.6656,DevOps / Cloud Infrastructure,same
0.7125,0.625,1.0,1.0,0.625,0.0,1.0,0.6567,DevOps / Cloud Infrastructure,same
0.7125,0.625,1.0,1.0,0.625,0.0,1.0,0.6887,DevOps / Cloud Infrastructure,same
0.7125,0.625,1.0,0.8,0.625,0.2,1.0,0.6939,DevOps / Cloud Infrastructure,same
0.7125,0.625,1.0,0.8,0.625,0.2,1.0,0.657,DevOps / Cloud Infrastructure,same
0.7125,0.625,1.0,0.8,0.625,0.2,1.0,0.662,DevOps / Cloud Infrastructure,same
0.7125,0.625,1.0,0.6,0.625,0.4,1.0,0.6994,DevOps / Cloud Infrastructure,same
0.7125,0.625,1.0,0.6,0.625,0.4,1.0,0.6726,DevOps / Cloud Infrastructure,same
0.7125,0.625,1.0,0.6,0.625,0.4,1.0,0.6743,DevOps / Cloud Infrastructure,same
0.65,0.5,1.0,1.0,0.5,0.0,1.0,0.6074,DevOps / Cloud Infrastructure,same
0.65,0.5,1.0,1.0,0.5,0.0,1.0,0.6106,DevOps / Cloud Infrastructure,same
0.65,0.5,1.0,1.0,0.5,0.0,1.0,0.6356,DevOps / Cloud Infrastructure,same
0.65,0.5,1.0,0.8,0.5,0.2,1.0,0.607,DevOps / Cloud Infrastructure,same
0.65,0.5,1.0,0.8,0.5,0.2,1.0,0.6434,DevOps / Cloud Infrastructure,same
0.65,0.5,1.0,0.8,0.5,0.2,1.0,0.6164,DevOps / Cloud Infrastructure,same
0.65,0.5,1.0,0.6,0.5,0.4,1.0,0.6277,DevOps / Cloud Infrastructure,same
0.65,0.5,1.0,0.6,0.5,0.4,1.0,0.6273,DevOps / Cloud Infrastructure,same
0.65,0.5,1.0,0.6,0.5,0.4,1.0,0.626,DevOps / Cloud Infrastructure,same
0.525,0.25,1.0,1.0,0.25,0.0,1.0,0.4974,DevOps / Cloud Infrastructure,same
0.525,0.25,1.0,1.0,0.25,0.0,1.0,0.5072,DevOps / Cloud Infrastructure,same
0.525,0.25,1.0,1.0,0.25,0.0,1.0,0.5313,DevOps / Cloud Infrastructure,same
0.525,0.25,1.0,0.8,0.25,0.2,1.0,0.5134,DevOps / Cloud Infrastructure,same
0.525,0.25,1.0,0.8,0.25,0.2,1.0,0.5167,DevOps / Cloud Infrastructure,same
0.525,0.25,1.0,0.8,0.25,0.2,1.0,0.5141,DevOps / Cloud Infrastructure,same
0.525,0.25,1.0,0.6,0.25,0.4,1.0,0.523,DevOps / Cloud Infrastructure,same
0.525,0.25,1.0,0.6,0.25,0.4,1.0,0.5146,DevOps / Cloud Infrastructure,same
0.525,0.25,1.0,0.6,0.25,0.4,1.0,0.5028,DevOps / Cloud Infrastructure,same
0.4625,0.125,1.0,1.0,0.125,0.0,0.65,0.2866,DevOps / Cloud Infrastructure,adjacent
0.4625,0.125,1.0,0.8,0.125,0.2,0.65,0.2726,DevOps / Cloud Infrastructure,adjacent
0.4625,0.125,1.0,1.0,0.125,0.0,0.65,0.2889,DevOps / Cloud Infrastructure,adjacent
0.4625,0.125,1.0,0.8,0.125,0.2,0.65,0.2834,DevOps / Cloud Infrastructure,adjacent
0.4625,0.125,1.0,1.0,0.125,0.0,0.65,0.263,DevOps / Cloud Infrastructure,adjacent
0.4625,0.125,1.0,0.8,0.125,0.2,0.65,0.2796,DevOps / Cloud Infrastructure,adjacent
0.4,0.0,1.0,1.0,0.0,-0.2,0.0,0.0459,DevOps / Cloud Infrastructure,different
0.4,0.0,0.5,0.8,0.0,0.2,0.0,0.053,DevOps / Cloud Infrastructure,different
0.4,0.0,1.0,1.0,0.0,-0.2,0.0,0.0573,DevOps / Cloud Infrastructure,different
0.4,0.0,0.1,1.0,0.0,-0.2,0.0,0.04,DevOps / Cloud Infrastructure,different
0.8375,0.875,1.0,1.0,0.875,0.0,1.0,0.7631,Data Science / Machine Learning,same
0.8375,0.875,1.0,1.0,0.875,0.0,1.0,0.8037,Data Science / Machine Learning,same
0.8375,0.875,1.0,1.0,0.875,0.0,1.0,0.8008,Data Science / Machine Learning,same
0.8375,0.875,1.0,0.8,0.875,0.2,1.0,0.781,Data Science / Machine Learning,same
0.8375,0.875,1.0,0.8,0.875,0.2,1.0,0.814,Data Science / Machine Learning,same
0.8375,0.875,1.0,0.8,0.875,0.2,1.0,0.7938,Data Science / Machine Learning,same
0.8375,0.875,1.0,0.6,0.875,0.4,1.0,0.8015,Data Science / Machine Learning,same
0.8375,0.875,1.0,0.6,0.875,0.4,1.0,0.7818,Data Science / Machine Learning,same
0.8375,0.875,1.0,0.6,0.875,0.4,1.0,0.7977,Data Science / Machine Learning,same
0.775,0.75,1.0,1.0,0.75,0.0,1.0,0.7359,Data Science / Machine Learning,same
0.775,0.75,1.0,1.0,0.75,0.0,1.0,0.7465,Data Science / Machine Learning,same
0.775,0.75,1.0,1.0,0.75,0.0,1.0,0.749,Data Science / Machine Learning,same
0.775,0.75,1.0,0.8,0.75,0.2,1.0,0.7315,Data Science / Machine Learning,same
0.775,0.75,1.0,0.8,0.75,0.2,1.0,0.7473,Data Science / Machine Learning,same
0.775,0.75,1.0,0.8,0.75,0.2,1.0,0.7259,Data Science / Machine Learning,same
0.775,0.75,1.0,0.6,0.75,0.4,1.0,0.7809,Data Science / Machine Learning,same
0.775,0.75,1.0,0.6,0.75,0.4,1.0,0.7518,Data Science / Machine Learning,same
0.775,0.75,1.0,0.6,0.75,0.4,1.0,0.7538,Data Science / Machine Learning,same
0.7125,0.625,1.0,1.0,0.625,0.0,1.0,0.6541,Data Science / Machine Learning,same
0.7125,0.625,1.0,1.0,0.625,0.0,1.0,0.7021,Data Science / Machine Learning,same
0.7125,0.625,1.0,1.0,0.625,0.0,1.0,0.6708,Data Science / Machine Learning,same
0.7125,0.625,1.0,0.8,0.625,0.2,1.0,0.6882,Data Science / Machine Learning,same
0.7125,0.625,1.0,0.8,0.625,0.2,1.0,0.6932,Data Science / Machine Learning,same
0.7125,0.625,1.0,0.8,0.625,0.2,1.0,0.684,Data Science / Machine Learning,same
0.7125,0.625,1.0,0.6,0.625,0.4,1.0,0.6931,Data Science / Machine Learning,same
0.7125,0.625,1.0,0.6,0.625,0.4,1.0,0.6922,Data Science / Machine Learning,same
0.7125,0.625,1.0,0.6,0.625,0.4,1.0,0.6855,Data Science / Machine Learning,same
0.65,0.5,1.0,1.0,0.5,0.0,1.0,0.6344,Data Science / Machine Learning,same
0.65,0.5,1.0,1.0,0.5,0.0,1.0,0.6241,Data Science / Machine Learning,same
0.65,0.5,1.0,1.0,0.5,0.0,1.0,0.6278,Data Science / Machine Learning,same
0.65,0.5,1.0,0.8,0.5,0.2,1.0,0.6121,Data Science / Machine Learning,same
0.65,0.5,1.0,0.8,0.5,0.2,1.0,0.5983,Data Science / Machine Learning,same
0.65,0.5,1.0,0.8,0.5,0.2,1.0,0.639,Data Science / Machine Learning,same
0.65,0.5,1.0,0.6,0.5,0.4,1.0,0.6403,Data Science / Machine Learning,same
0.65,0.5,1.0,0.6,0.5,0.4,1.0,0.6246,Data Science / Machine Learning,same
0.65,0.5,1.0,0.6,0.5,0.4,1.0,0.6236,Data Science / Machine Learning,same
0.525,0.25,1.0,1.0,0.25,0.0,1.0,0.5057,Data Science / Machine Learning,same
0.525,0.25,1.0,1.0,0.25,0.0,1.0,0.5034,Data Science / Machine Learning,same
0.525,0.25,1.0,1.0,0.25,0.0,1.0,0.5427,Data Science / Machine Learning,same
0.525,0.25,1.0,0.8,0.25,0.2,1.0,0.4993,Data Science / Machine Learning,same
0.525,0.25,1.0,0.8,0.25,0.2,1.0,0.5053,Data Science / Machine Learning,same
0.525,0.25,1.0,0.8,0.25,0.2,1.0,0.5124,Data Science / Machine Learning,same
0.525,0.25,1.0,0.6,0.25,0.4,1.0,0.5084,Data Science / Machine Learning,same
0.525,0.25,1.0,0.6,0.25,0.4,1.0,0.5003,Data Science / Machine Learning,same
0.525,0.25,1.0,0.6,0.25,0.4,1.0,0.5053,Data Science / Machine Learning,same
0.4625,0.125,1.0,1.0,0.125,0.0,0.65,0.2917,Data Science / Machine Learning,adjacent
0.4625,0.125,1.0,0.8,0.125,0.2,0.65,0.2819,Data Science / Machine Learning,adjacent
0.4625,0.125,1.0,1.0,0.125,0.0,0.65,0.2923,Data Science / Machine Learning,adjacent
0.4625,0.125,1.0,0.8,0.125,0.2,0.65,0.2863,Data Science / Machine Learning,adjacent
0.4625,0.125,1.0,1.0,0.125,0.0,0.65,0.2938,Data Science / Machine Learning,adjacent
0.4625,0.125,1.0,0.8,0.125,0.2,0.65,0.3023,Data Science / Machine Learning,adjacent
0.4,0.0,1.0,0.4,0.0,0.6,0.0,0.0684,Data Science / Machine Learning,different
0.4,0.0,1.0,0.4,0.0,0.6,0.0,0.0673,Data Science / Machine Learning,different
0.4,0.0,1.0,1.0,0.0,0.0,0.0,0.0408,Data Science / Machine Learning,different
0.4,0.0,1.0,1.0,0.0,0.0,0.0,0.0415,Data Science / Machine Learning,different
0.8375,0.875,1.0,1.0,0.875,0.0,1.0,0.766,Cybersécurité,same
0.8375,0.875,1.0,1.0,0.875,0.0,1.0,0.7898,Cybersécurité,same
0.8375,0.875,1.0,1.0,0.875,0.0,1.0,0.7991,Cybersécurité,same
0.8375,0.875,1.0,0.8,0.875,0.2,1.0,0.812,Cybersécurité,same
0.8375,0.875,1.0,0.8,0.875,0.2,1.0,0.7946,Cybersécurité,same
0.8375,0.875,1.0,0.8,0.875,0.2,1.0,0.8058,Cybersécurité,same
0.8375,0.875,1.0,0.6,0.875,0.4,1.0,0.789,Cybersécurité,same
0.8375,0.875,1.0,0.6,0.875,0.4,1.0,0.7848,Cybersécurité,same
0.8375,0.875,1.0,0.6,0.875,0.4,1.0,0.7857,Cybersécurité,same
0.775,0.75,1.0,1.0,0.75,0.0,1.0,0.7558,Cybersécurité,same
0.775,0.75,1.0,1.0,0.75,0.0,1.0,0.7494,Cybersécurité,same
0.775,0.75,1.0,1.0,0.75,0.0,1.0,0.7433,Cybersécurité,same
0.775,0.75,1.0,0.8,0.75,0.2,1.0,0.7775,Cybersécurité,same
0.775,0.75,1.0,0.8,0.75,0.2,1.0,0.7371,Cybersécurité,same
0.775,0.75,1.0,0.8,0.75,0.2,1.0,0.7449,Cybersécurité,same
0.775,0.75,1.0,0.6,0.75,0.4,1.0,0.7412,Cybersécurité,same
0.775,0.75,1.0,0.6,0.75,0.4,1.0,0.7348,Cybersécurité,same
0.775,0.75,1.0,0.6,0.75,0.4,1.0,0.7653,Cybersécurité,same
0.7125,0.625,1.0,1.0,0.625,0.0,1.0,0.6993,Cybersécurité,same
0.7125,0.625,1.0,1.0,0.625,0.0,1.0,0.6645,Cybersécurité,same
0.7125,0.625,1.0,1.0,0.625,0.0,1.0,0.6765,Cybersécurité,same
0.7125,0.625,1.0,0.8,0.625,0.2,1.0,0.6864,Cybersécurité,same
0.7125,0.625,1.0,0.8,0.625,0.2,1.0,0.6906,Cybersécurité,same
0.7125,0.625,1.0,0.8,0.625,0.2,1.0,0.6651,Cybersécurité,same
0.7125,0.625,1.0,0.6,0.625,0.4,1.0,0.6542,Cybersécurité,same
0.7125,0.625,1.0,0.6,0.625,0.4,1.0,0.6584,Cybersécurité,same
0.7125,0.625,1.0,0.6,0.625,0.4,1.0,0.6804,Cybersécurité,same
0.65,0.5,1.0,1.0,0.5,0.0,1.0,0.6238,Cybersécurité,same
0.65,0.5,1.0,1.0,0.5,0.0,1.0,0.6291,Cybersécurité,same
0.65,0.5,1.0,1.0,0.5,0.0,1.0,0.6158,Cybersécurité,same
0.65,0.5,1.0,0.8,0.5,0.2,1.0,0.6103,Cybersécurité,same
0.65,0.5,1.0,0.8,0.5,0.2,1.0,0.6007,Cybersécurité,same
0.65,0.5,1.0,0.8,0.5,0.2,1.0,0.629,Cybersécurité,same
0.65,0.5,1.0,0.6,0.5,0.4,1.0,0.6294,Cybersécurité,same
0.65,0.5,1.0,0.6,0.5,0.4,1.0,0.6369,Cybersécurité,same
0.65,0.5,1.0,0.6,0.5,0.4,1.0,0.6345,Cybersécurité,same
0.525,0.25,1.0,1.0,0.25,0.0,1.0,0.5102,Cybersécurité,same
0.525,0.25,1.0,1.0,0.25,0.0,1.0,0.5287,Cybersécurité,same
0.525,0.25,1.0,1.0,0.25,0.0,1.0,0.5109,Cybersécurité,same
0.525,0.25,1.0,0.8,0.25,0.2,1.0,0.5046,Cybersécurité,same
0.525,0.25,1.0,0.8,0.25,0.2,1.0,0.5063,Cybersécurité,same
0.525,0.25,1.0,0.8,0.25,0.2,1.0,0.5055,Cybersécurité,same
0.525,0.25,1.0,0.6,0.25,0.4,1.0,0.4865,Cybersécurité,same
0.525,0.25,1.0,0.6,0.25,0.4,1.0,0.5144,Cybersécurité,same
0.525,0.25,1.0,0.6,0.25,0.4,1.0,0.5155,Cybersécurité,same
0.4625,0.125,1.0,1.0,0.125,0.0,0.65,0.2832,Cybersécurité,adjacent
0.4625,0.125,1.0,0.8,0.125,0.2,0.65,0.2789,Cybersécurité,adjacent
0.4625,0.125,1.0,1.0,0.125,0.0,0.65,0.292,Cybersécurité,adjacent
0.4625,0.125,1.0,0.8,0.125,0.2,0.65,0.3081,Cybersécurité,adjacent
0.4625,0.125,1.0,1.0,0.125,0.0,0.65,0.288,Cybersécurité,adjacent
0.4625,0.125,1.0,0.8,0.125,0.2,0.65,0.2814,Cybersécurité,adjacent
0.4,0.0,1.0,1.0,0.0,-0.2,0.0,0.0429,Cybersécurité,different
0.4,0.0,1.0,1.0,0.0,-0.2,0.0,0.0547,Cybersécurité,different
0.4,0.0,1.0,0.8,0.0,0.2,0.0,0.0503,Cybersécurité,different
0.4,0.0,1.0,0.6,0.0,0.4,0.0,0.0441,Cybersécurité,different
0.8375,0.875,1.0,1.0,0.875,0.0,1.0,0.7904,Développement Mobile iOS/Android,same
0.8375,0.875,1.0,1.0,0.875,0.0,1.0,0.8009,Développement Mobile iOS/Android,same
0.8375,0.875,1.0,1.0,0.875,0.0,1.0,0.8011,Développement Mobile iOS/Android,same
0.8375,0.875,1.0,0.8,0.875,0.2,1.0,0.811,Développement Mobile iOS/Android,same
0.8375,0.875,1.0,0.8,0.875,0.2,1.0,0.7811,Développement Mobile iOS/Android,same
0.8375,0.875,1.0,0.8,0.875,0.2,1.0,0.8102,Développement Mobile iOS/Android,same
0.8375,0.875,1.0,0.6,0.875,0.4,1.0,0.774,Développement Mobile iOS/Android,same
0.8375,0.875,1.0,0.6,0.875,0.4,1.0,0.796,Développement Mobile iOS/Android,same
0.8375,0.875,1.0,0.6,0.875,0.4,1.0,0.8026,Développement Mobile iOS/Android,same
0.775,0.75,1.0,1.0,0.75,0.0,1.0,0.7542,Développement Mobile iOS/Android,same
0.775,0.75,1.0,1.0,0.75,0.0,1.0,0.7501,Développement Mobile iOS/Android,same
0.775,0.75,1.0,1.0,0.75,0.0,1.0,0.7466,Développement Mobile iOS/Android,same
0.775,0.75,1.0,0.8,0.75,0.2,1.0,0.7293,Développement Mobile iOS/Android,same
0.775,0.75,1.0,0.8,0.75,0.2,1.0,0.7325,Développement Mobile iOS/Android,same
0.775,0.75,1.0,0.8,0.75,0.2,1.0,0.7327,Développement Mobile iOS/Android,same
0.775,0.75,1.0,0.6,0.75,0.4,1.0,0.7592,Développement Mobile iOS/Android,same
0.775,0.75,1.0,0.6,0.75,0.4,1.0,0.7273,Développement Mobile iOS/Android,same
0.775,0.75,1.0,0.6,0.75,0.4,1.0,0.7592,Développement Mobile iOS/Android,same
