offre,candidat,sem_sim,skill_rate_w,exp_score,form_score,sem_v2,edu_dom_compat,exp_dom_ratio,title_skill_match,crit_skill_ratio,offer_type_enc,label
Stage Développeur Python,DevOps 4ans,0.4196,0.0,0.8,1.0,0.4196,1.0,1.0,0.0,0.0,0.0,0.3039
Stage Développeur Python,Data Scientist 3ans,0.4401,0.25,0.8,1.0,0.4401,1.0,1.0,1.0,1.0,0.0,0.4455
Stage Développeur Python,Dev Java 4ans,0.3926,0.25,0.8,1.0,0.3926,1.0,1.0,0.0,0.0,0.0,0.436
Stage Développeur Python,Dev Java Junior,0.3487,0.25,0.8,0.8,0.3487,1.0,1.0,0.0,0.0,0.0,0.4072
Développeur React Frontend,Dev Python 5ans,0.4644,0.0,1.0,1.0,0.4644,0.8,1.0,0.0,0.0,0.5,0.3429
Développeur React Frontend,Dev Python 2ans,0.4055,0.0,0.9,1.0,0.4055,0.8,1.0,0.0,0.0,0.5,0.3161
Développeur React Frontend,Stage Python,0.3897,0.0,0.0,1.0,0.3897,0.8,0.0,0.0,0.0,0.5,0.1779
Développeur React Frontend,Dev React 3ans,0.6053,0.8,1.0,1.0,0.6053,0.8,1.0,1.0,1.0,0.5,0.8111
Développeur React Frontend,Dev React Débutant,0.5898,0.4,0.4,1.0,0.5898,0.8,0.5,1.0,1.0,0.5,0.498
Développeur React Frontend,DevOps 4ans,0.3888,0.0,1.0,1.0,0.3888,0.8,1.0,0.0,0.0,0.5,0.3278
Développeur React Frontend,Data Scientist 3ans,0.3558,0.0,1.0,1.0,0.3558,0.8,1.0,0.0,0.0,0.5,0.3212
Développeur React Frontend,Dev Java 4ans,0.3231,0.0,1.0,1.0,0.3231,0.8,1.0,0.0,0.0,0.5,0.3146
Développeur React Frontend,Dev Java Junior,0.3004,0.0,0.4,1.0,0.3004,0.8,0.5,0.0,0.0,0.5,0.2201
Ingénieur DevOps Cloud,Dev Python 5ans,0.6329,0.1667,1.0,1.0,0.6329,1.0,1.0,0.0,0.0,0.5,0.4683
Ingénieur DevOps Cloud,Dev Python 2ans,0.4547,0.1667,0.5333,1.0,0.4547,1.0,0.6667,0.0,0.0,0.5,0.3626
Ingénieur DevOps Cloud,Stage Python,0.4373,0.0,0.0,0.8,0.4373,1.0,0.0,0.0,0.0,0.5,0.1675
Ingénieur DevOps Cloud,Dev React 3ans,0.424,0.0,0.9,0.6,0.424,1.0,1.0,0.0,0.0,0.5,0.2798
Ingénieur DevOps Cloud,Dev React Débutant,0.436,0.0,0.2667,0.6,0.436,1.0,0.3333,0.0,0.0,0.5,0.1872
Ingénieur DevOps Cloud,DevOps 4ans,0.7398,1.0,0.9667,1.0,0.7398,1.0,1.0,1.0,1.0,0.5,0.943
Ingénieur DevOps Cloud,Data Scientist 3ans,0.4992,0.0,0.9,1.0,0.4992,1.0,1.0,0.0,0.0,0.5,0.3348
Ingénieur DevOps Cloud,Dev Java 4ans,0.479,0.1667,0.9667,1.0,0.479,1.0,1.0,0.0,0.0,0.5,0.4325
Ingénieur DevOps Cloud,Dev Java Junior,0.3412,0.0,0.2667,0.6,0.3412,1.0,0.3333,0.0,0.0,0.5,0.1682
Data Scientist ML,Dev Python 5ans,0.5528,0.1667,1.0,1.0,0.5528,1.0,1.0,0.0,1.0,0.5,0.4522
Data Scientist ML,Dev Python 2ans,0.4931,0.1667,0.5333,1.0,0.4931,1.0,0.6667,0.0,1.0,0.5,0.3703
Data Scientist ML,Stage Python,0.443,0.1667,0.0,0.8,0.443,1.0,0.0,0.0,1.0,0.5,0.2603
Data Scientist ML,Dev React 3ans,0.3816,0.0,0.9,0.6,0.3816,1.0,1.0,0.0,1.0,0.5,0.2713
Data Scientist ML,Dev React Débutant,0.376,0.0,0.2667,0.6,0.376,1.0,0.3333,0.0,1.0,0.5,0.1752
Data Scientist ML,DevOps 4ans,0.47,0.0,0.9667,1.0,0.47,1.0,1.0,0.0,1.0,0.5,0.339
Data Scientist ML,Data Scientist 3ans,0.84,1.0,0.9,1.0,0.84,1.0,1.0,0.0,1.0,0.5,0.95
Data Scientist ML,Dev Java 4ans,0.4541,0.0,0.9667,1.0,0.4541,1.0,1.0,0.0,1.0,0.5,0.3358
Data Scientist ML,Dev Java Junior,0.4484,0.0,0.2667,0.6,0.4484,1.0,0.3333,0.0,1.0,0.5,0.1897
Architecte Cloud AWS Senior,Dev Python 5ans,0.6492,0.3333,0.5,1.0,0.6492,1.0,0.625,0.0,0.0,1.0,0.4882
Architecte Cloud AWS Senior,Dev Python 2ans,0.4999,0.3333,0.2,1.0,0.4999,1.0,0.25,0.0,0.0,1.0,0.4133
Architecte Cloud AWS Senior,Stage Python,0.4195,0.1667,0.0,0.8,0.4195,1.0,0.0,0.0,0.0,1.0,0.2556
Architecte Cloud AWS Senior,Dev React 3ans,0.4294,0.0,0.3,0.6,0.4294,1.0,0.375,0.0,0.0,1.0,0.1909
Architecte Cloud AWS Senior,Dev React Débutant,0.4109,0.0,0.1,0.6,0.4109,1.0,0.125,0.0,0.0,1.0,0.1572
Architecte Cloud AWS Senior,DevOps 4ans,0.7051,0.8333,0.4,1.0,0.7051,1.0,0.5,1.0,1.0,1.0,0.7593
Architecte Cloud AWS Senior,Data Scientist 3ans,0.5264,0.1667,0.3,1.0,0.5264,1.0,0.375,0.0,0.0,1.0,0.342
Architecte Cloud AWS Senior,Dev Java 4ans,0.4837,0.1667,0.4,1.0,0.4837,1.0,0.5,0.0,0.0,1.0,0.3484
Architecte Cloud AWS Senior,Dev Java Junior,0.3626,0.0,0.1,0.6,0.3626,1.0,0.125,0.0,0.0,1.0,0.1475
Développeur Java Backend,Dev Python 5ans,0.5589,0.4,1.0,1.0,0.5589,1.0,1.0,0.0,0.0,0.5,0.5818
Développeur Java Backend,Dev Python 2ans,0.5529,0.4,0.5333,1.0,0.5529,1.0,0.6667,0.0,0.0,0.5,0.5106
Développeur Java Backend,Stage Python,0.4452,0.0,0.0,0.8,0.4452,1.0,0.0,0.0,0.0,0.5,0.169
Développeur Java Backend,Dev React 3ans,0.3891,0.0,0.9,0.6,0.3891,1.0,1.0,0.0,0.0,0.5,0.2728
Développeur Java Backend,Dev React Débutant,0.4017,0.0,0.2667,0.6,0.4017,1.0,0.3333,1.0,0.0,0.5,0.1803
Développeur Java Backend,DevOps 4ans,0.517,0.2,0.9667,1.0,0.517,1.0,1.0,0.0,0.0,0.5,0.4584
Développeur Java Backend,Data Scientist 3ans,0.4212,0.0,0.9,1.0,0.4212,1.0,1.0,0.0,0.0,0.5,0.3192
Développeur Java Backend,Dev Java 4ans,0.7308,1.0,0.9667,1.0,0.7308,1.0,1.0,1.0,1.0,0.5,0.9412
Développeur Java Backend,Dev Java Junior,0.4844,0.4,0.2667,0.6,0.4844,1.0,0.3333,1.0,1.0,0.5,0.4169
Contrôleur de Gestion,Comptable 5ans,0.6205,0.8333,1.0,1.0,0.6205,1.0,1.0,0.0,1.0,0.5,0.8324
Contrôleur de Gestion,Contrôleur Gestion 3ans,0.6828,0.8333,0.9,1.0,0.6828,1.0,1.0,0.0,1.0,0.5,0.8299
Contrôleur de Gestion,Auditeur 2ans,0.5464,0.5,0.5333,0.6,0.5464,1.0,0.6667,0.0,0.0,0.5,0.5243
Contrôleur de Gestion,Analyste Financier 3ans,0.5881,0.3333,0.9,1.0,0.5881,1.0,1.0,0.0,0.0,0.5,0.5359
Comptable Senior,Comptable 5ans,0.7015,1.0,0.9,1.0,0.7015,1.0,1.0,0.0,1.0,1.0,0.9253
Comptable Senior,Contrôleur Gestion 3ans,0.6067,0.5,0.48,1.0,0.6067,1.0,0.6,0.0,1.0,1.0,0.5683
Comptable Senior,Auditeur 2ans,0.6136,0.5,0.32,0.6,0.6136,1.0,0.4,0.0,1.0,1.0,0.5057
Comptable Senior,Analyste Financier 3ans,0.5837,0.3333,0.48,1.0,0.5837,1.0,0.6,0.0,1.0,1.0,0.4721
Auditeur Interne Junior,Comptable 5ans,0.5591,0.75,1.0,1.0,0.5591,1.0,1.0,1.0,1.0,0.0,0.7743
Auditeur Interne Junior,Contrôleur Gestion 3ans,0.5356,0.5,1.0,1.0,0.5356,1.0,1.0,0.0,0.0,0.0,0.6321
Auditeur Interne Junior,Auditeur 2ans,0.6642,1.0,1.0,1.0,0.6642,1.0,1.0,1.0,1.0,0.0,0.9328
Auditeur Interne Junior,Analyste Financier 3ans,0.5319,0.25,1.0,1.0,0.5319,1.0,1.0,0.0,0.0,0.0,0.4939
Analyste Financier,Comptable 5ans,0.5568,0.4,1.0,1.0,0.5568,1.0,1.0,0.0,0.0,0.5,0.5814
Analyste Financier,Contrôleur Gestion 3ans,0.6093,0.6,0.9,1.0,0.6093,1.0,1.0,0.0,1.0,0.5,0.6869
Analyste Financier,Auditeur 2ans,0.5117,0.2,0.5333,0.6,0.5117,1.0,0.6667,0.0,0.0,0.5,0.3523
Analyste Financier,Analyste Financier 3ans,0.7703,1.0,0.9,1.0,0.7703,1.0,1.0,0.0,1.0,0.5,0.9391
Chargé RH Recrutement,Chargée RH 3ans,0.7542,1.0,1.0,1.0,0.7542,1.0,1.0,1.0,1.0,0.0,0.95
Chargé RH Recrutement,Responsable RH 7ans,0.647,0.6667,1.0,1.0,0.647,1.0,1.0,0.0,0.0,0.0,0.7461
Chargé RH Recrutement,Gestionnaire Paie 2ans,0.5682,0.3333,0.9,1.0,0.5682,1.0,1.0,0.0,0.0,0.0,0.532
Chargé RH Recrutement,Recruteur Junior,0.557,0.3333,0.4,1.0,0.557,1.0,0.5,1.0,1.0,0.0,0.4547
Responsable RH Senior,Chargée RH 3ans,0.6728,0.8333,0.3429,0.6,0.6728,0.45,0.4286,0.0,1.0,1.0,0.7043
Responsable RH Senior,Responsable RH 7ans,0.7425,1.0,0.9,1.0,0.7425,0.45,1.0,0.0,1.0,1.0,0.9335
Responsable RH Senior,Gestionnaire Paie 2ans,0.6294,0.5,0.2286,0.6,0.6294,0.45,0.2857,0.0,1.0,1.0,0.4952
Responsable RH Senior,Recruteur Junior,0.4183,0.0,0.1143,0.6,0.4183,0.45,0.1429,0.0,1.0,1.0,0.1608
Gestionnaire Paie,Chargée RH 3ans,0.5778,0.6,1.0,1.0,0.5778,0.45,1.0,1.0,1.0,0.0,0.6956
Gestionnaire Paie,Responsable RH 7ans,0.6237,0.6,1.0,1.0,0.6237,0.45,1.0,1.0,1.0,0.0,0.7047
Gestionnaire Paie,Gestionnaire Paie 2ans,0.7632,1.0,0.9,1.0,0.7632,0.45,1.0,1.0,1.0,0.0,0.9376
Gestionnaire Paie,Recruteur Junior,0.3933,0.0,0.4,1.0,0.3933,0.45,0.5,0.0,0.0,0.0,0.2387
Infirmier IDE Soins Intensifs,Infirmier IDE 4ans,0.6974,1.0,1.0,1.0,0.6974,1.0,1.0,1.0,1.0,0.5,0.9395
Infirmier IDE Soins Intensifs,Infirmier Urgences 2ans,0.6117,0.6667,0.9,1.0,0.6117,1.0,1.0,1.0,1.0,0.5,0.724
Infirmier Urgences Senior,Infirmier IDE 4ans,0.6258,0.8,0.64,1.0,0.6258,1.0,0.8,1.0,1.0,1.0,0.7612
Infirmier Urgences Senior,Infirmier Urgences 2ans,0.6927,1.0,0.32,1.0,0.6927,1.0,0.4,1.0,1.0,1.0,0.8365
Juriste Droit des Affaires,Juriste Affaires 4ans,0.7192,1.0,0.9667,1.0,0.7192,1.0,1.0,1.0,1.0,0.5,0.9388
Juriste Droit des Affaires,Juriste Social 6ans,0.4613,0.0,1.0,1.0,0.4613,0.45,1.0,0.0,0.0,0.5,0.3423
Juriste Droit des Affaires,Juriste Junior,0.4884,0.6,0.2667,1.0,0.4884,1.0,0.3333,1.0,1.0,0.5,0.5677
Juriste Droit Social Senior,Juriste Affaires 4ans,0.4439,0.0,0.5333,1.0,0.4439,0.75,0.6667,0.0,0.0,1.0,0.2688
Juriste Droit Social Senior,Juriste Social 6ans,0.6481,1.0,0.9,1.0,0.6481,0.45,1.0,1.0,1.0,1.0,0.9146
Juriste Droit Social Senior,Juriste Junior,0.4105,0.0,0.1333,1.0,0.4105,0.75,0.1667,0.0,0.0,1.0,0.2021
Ingénieur Génie Civil,Ingénieur GC 4ans,0.7553,1.0,0.9667,1.0,0.7553,1.0,1.0,0.0,1.0,0.5,0.9461
Ingénieur Génie Civil,Conducteur Travaux 7ans,0.5014,0.4,1.0,0.6,0.5014,1.0,1.0,0.0,0.0,0.5,0.5303
Conducteur de Travaux Senior,Ingénieur GC 4ans,0.5769,0.5,0.4571,1.0,0.5769,0.8,0.5714,0.0,0.0,1.0,0.559
Conducteur de Travaux Senior,Conducteur Travaux 7ans,0.6638,1.0,0.9,1.0,0.6638,0.8,1.0,1.0,1.0,1.0,0.9178
Responsable Logistique,Resp Logistique 4ans,0.7375,1.0,0.9667,1.0,0.7375,1.0,1.0,1.0,1.0,0.5,0.9425
Responsable Logistique,Acheteur 6ans,0.5117,0.3333,1.0,1.0,0.5117,1.0,1.0,0.0,0.0,0.5,0.5357
Acheteur Senior,Resp Logistique 4ans,0.5424,0.4,0.5333,1.0,0.5424,1.0,0.6667,0.0,1.0,1.0,0.5085
Acheteur Senior,Acheteur 6ans,0.6891,1.0,0.9,1.0,0.6891,1.0,1.0,0.0,1.0,1.0,0.9228
Chef de Projet Marketing Digital,Chef Projet Mktg 3ans,0.738,1.0,0.9,1.0,0.738,1.0,1.0,1.0,1.0,0.5,0.9326
Chef de Projet Marketing Digital,Community Manager 1an,0.4196,0.3333,0.2667,0.6,0.4196,1.0,0.3333,1.0,1.0,0.5,0.3672
Community Manager Junior,Chef Projet Mktg 3ans,0.5181,0.5,1.0,1.0,0.5181,0.45,1.0,1.0,1.0,0.0,0.6286
Community Manager Junior,Community Manager 1an,0.7159,1.0,0.9,1.0,0.7159,0.45,1.0,1.0,1.0,0.0,0.9282
Développeur Python FastAPI,Resp Logistique 4ans,0.3318,0.0,0.9667,1.0,0.3318,0.75,0.3,0.0,0.0,0.5,0.2179
Développeur Python FastAPI,Acheteur 6ans,0.3658,0.0,1.0,1.0,0.3658,0.75,0.3,0.0,0.0,0.5,0.2262
Développeur Python Senior,Resp Logistique 4ans,0.3876,0.0,0.64,1.0,0.3876,0.75,0.3,0.0,0.0,1.0,0.1915
Développeur Python Senior,Acheteur 6ans,0.4328,0.0,0.94,1.0,0.4328,0.75,0.3,0.0,0.0,1.0,0.2293
Stage Développeur Python,Resp Logistique 4ans,0.3998,0.0,0.8,1.0,0.3998,0.75,0.3,0.0,0.0,0.0,0.21
Stage Développeur Python,Acheteur 6ans,0.4349,0.0,0.8,1.0,0.4349,0.75,0.3,0.0,0.0,0.0,0.2149
Développeur React Frontend,Resp Logistique 4ans,0.284,0.0,1.0,1.0,0.284,0.8,0.3,0.0,0.0,0.5,0.2148
Développeur React Frontend,Acheteur 6ans,0.3242,0.0,1.0,1.0,0.3242,0.8,0.3,0.0,0.0,0.5,0.2204
Ingénieur DevOps Cloud,Resp Logistique 4ans,0.4142,0.0,0.9667,1.0,0.4142,0.75,0.3,0.0,0.0,0.5,0.2295
Ingénieur DevOps Cloud,Acheteur 6ans,0.4378,0.0,1.0,1.0,0.4378,0.75,0.3,0.0,0.0,0.5,0.2363
Data Scientist ML,Resp Logistique 4ans,0.4411,0.0,0.9667,1.0,0.4411,0.75,0.3,0.0,1.0,0.5,0.2333
Data Scientist ML,Acheteur 6ans,0.441,0.0,1.0,1.0,0.441,0.75,0.3,0.0,1.0,0.5,0.2367
Architecte Cloud AWS Senior,Resp Logistique 4ans,0.4034,0.0,0.4,1.0,0.4034,0.75,0.3,0.0,0.0,1.0,0.1685
Architecte Cloud AWS Senior,Acheteur 6ans,0.4267,0.0,0.6,1.0,0.4267,0.75,0.3,0.0,0.0,1.0,0.1927
Développeur Java Backend,Resp Logistique 4ans,0.3677,0.0,0.9667,1.0,0.3677,0.75,0.3,0.0,0.0,0.5,0.223
Développeur Java Backend,Acheteur 6ans,0.3967,0.0,1.0,1.0,0.3967,0.75,0.3,0.0,0.0,0.5,0.2305
Contrôleur de Gestion,Chargée RH 3ans,0.4258,0.0,0.9,0.6,0.4258,0.75,0.3,0.0,0.0,0.5,0.1961
Contrôleur de Gestion,Responsable RH 7ans,0.4513,0.0,1.0,1.0,0.4513,0.75,0.3,0.0,0.0,0.5,0.2382
Contrôleur de Gestion,Gestionnaire Paie 2ans,0.5305,0.1667,0.5333,0.6,0.5305,0.75,0.3,0.0,0.0,0.5,0.2364
Contrôleur de Gestion,Recruteur Junior,0.3194,0.0,0.2667,0.6,0.3194,0.75,0.3,0.0,0.0,0.5,0.1147
Contrôleur de Gestion,Juriste Affaires 4ans,0.376,0.0,0.9667,1.0,0.376,0.75,0.3,0.0,0.0,0.5,0.2241
Contrôleur de Gestion,Juriste Social 6ans,0.3707,0.0,1.0,1.0,0.3707,0.45,0.3,0.0,0.0,0.5,0.2269
Contrôleur de Gestion,Juriste Junior,0.2822,0.0,0.2667,1.0,0.2822,0.75,0.3,0.0,0.0,0.5,0.1375
Comptable Senior,Chargée RH 3ans,0.4835,0.0,0.48,0.6,0.4835,0.75,0.3,0.0,1.0,1.0,0.1601
Comptable Senior,Responsable RH 7ans,0.47,0.0,0.98,1.0,0.47,0.75,0.3,0.0,1.0,1.0,0.2387
Comptable Senior,Gestionnaire Paie 2ans,0.5623,0.1667,0.32,0.6,0.5623,0.75,0.3,0.0,1.0,1.0,0.2185
Comptable Senior,Recruteur Junior,0.3801,0.0,0.16,0.6,0.3801,0.75,0.3,0.0,1.0,1.0,0.112
Comptable Senior,Juriste Affaires 4ans,0.4013,0.0,0.64,1.0,0.4013,0.75,0.3,0.0,1.0,1.0,0.1934
Comptable Senior,Juriste Social 6ans,0.4261,0.0,0.94,1.0,0.4261,0.45,0.3,0.0,1.0,1.0,0.2283
Comptable Senior,Juriste Junior,0.3343,0.0,0.16,1.0,0.3343,0.75,0.3,0.0,1.0,1.0,0.1336
Auditeur Interne Junior,Chargée RH 3ans,0.4305,0.0,1.0,1.0,0.4305,0.75,0.3,0.0,0.0,0.0,0.2353
Auditeur Interne Junior,Responsable RH 7ans,0.3956,0.0,1.0,1.0,0.3956,0.75,0.3,0.0,0.0,0.0,0.2304
Auditeur Interne Junior,Gestionnaire Paie 2ans,0.481,0.25,1.0,1.0,0.481,0.75,0.3,0.0,0.0,0.0,0.3386
Auditeur Interne Junior,Recruteur Junior,0.3296,0.0,0.9,1.0,0.3296,0.75,0.3,0.0,0.0,0.0,0.2106
Auditeur Interne Junior,Juriste Affaires 4ans,0.4084,0.0,1.0,1.0,0.4084,0.75,0.3,0.0,0.0,0.0,0.2322
Auditeur Interne Junior,Juriste Social 6ans,0.4183,0.0,1.0,1.0,0.4183,0.45,0.3,0.0,0.0,0.0,0.2336
Auditeur Interne Junior,Juriste Junior,0.3745,0.0,0.9,1.0,0.3745,0.75,0.3,0.0,0.0,0.0,0.2169
Analyste Financier,Chargée RH 3ans,0.435,0.0,0.9,0.6,0.435,0.75,0.3,0.0,0.0,0.5,0.1974
Analyste Financier,Responsable RH 7ans,0.4638,0.0,1.0,1.0,0.4638,0.75,0.3,0.0,0.0,0.5,0.2399
Analyste Financier,Gestionnaire Paie 2ans,0.5387,0.2,0.5333,0.6,0.5387,0.75,0.3,0.0,0.0,0.5,0.2504
Analyste Financier,Recruteur Junior,0.3519,0.0,0.2667,0.6,0.3519,0.75,0.3,0.0,0.0,0.5,0.1193
Analyste Financier,Juriste Affaires 4ans,0.3869,0.0,0.9667,1.0,0.3869,0.75,0.3,0.0,0.0,0.5,0.2257
Analyste Financier,Juriste Social 6ans,0.4072,0.0,1.0,1.0,0.4072,0.45,0.3,0.0,0.0,0.5,0.232
Analyste Financier,Juriste Junior,0.3751,0.0,0.2667,1.0,0.3751,0.75,0.3,0.0,0.0,0.5,0.1505
Chargé RH Recrutement,Comptable 5ans,0.4365,0.0,1.0,1.0,0.4365,0.75,0.3,0.0,0.0,0.0,0.2361
Chargé RH Recrutement,Contrôleur Gestion 3ans,0.4243,0.0,1.0,1.0,0.4243,0.75,0.3,0.0,0.0,0.0,0.2344
Chargé RH Recrutement,Auditeur 2ans,0.4503,0.0,0.9,1.0,0.4503,0.75,0.3,0.0,0.0,0.0,0.2275
Chargé RH Recrutement,Analyste Financier 3ans,0.4402,0.0,1.0,1.0,0.4402,0.75,0.3,0.0,0.0,0.0,0.2366
Chargé RH Recrutement,Juriste Affaires 4ans,0.4909,0.0,1.0,1.0,0.4909,0.75,0.3,0.0,0.0,0.0,0.2437
Chargé RH Recrutement,Juriste Social 6ans,0.5068,0.1667,1.0,1.0,0.5068,0.45,0.3,0.0,0.0,0.0,0.3101
Chargé RH Recrutement,Juriste Junior,0.4135,0.0,0.4,1.0,0.4135,0.75,0.3,0.0,0.0,0.0,0.1699
Responsable RH Senior,Comptable 5ans,0.4768,0.0,0.5714,1.0,0.4768,0.45,0.3,0.0,1.0,1.0,0.1968
Responsable RH Senior,Contrôleur Gestion 3ans,0.4651,0.0,0.3429,1.0,0.4651,0.45,0.3,0.0,1.0,1.0,0.1711
Responsable RH Senior,Auditeur 2ans,0.4098,0.0,0.2286,0.6,0.4098,0.45,0.3,0.0,1.0,1.0,0.1234
Responsable RH Senior,Analyste Financier 3ans,0.4737,0.0,0.3429,1.0,0.4737,0.45,0.3,0.0,1.0,1.0,0.1723
Responsable RH Senior,Juriste Affaires 4ans,0.4641,0.0,0.4571,1.0,0.4641,0.45,0.3,0.0,1.0,1.0,0.183
Responsable RH Senior,Juriste Social 6ans,0.5412,0.3333,0.6857,1.0,0.5412,1.0,0.3,0.0,1.0,1.0,0.3461
Responsable RH Senior,Juriste Junior,0.3755,0.0,0.1143,1.0,0.3755,0.45,0.3,0.0,1.0,1.0,0.1346
Gestionnaire Paie,Comptable 5ans,0.4751,0.2,1.0,1.0,0.4751,0.45,0.3,0.0,0.0,0.0,0.3185
Gestionnaire Paie,Contrôleur Gestion 3ans,0.494,0.2,1.0,1.0,0.494,0.45,0.3,0.0,0.0,0.0,0.3212
Gestionnaire Paie,Auditeur 2ans,0.4463,0.2,0.9,1.0,0.4463,0.45,0.3,0.0,0.0,0.0,0.304
Gestionnaire Paie,Analyste Financier 3ans,0.5286,0.2,1.0,1.0,0.5286,0.45,0.3,0.0,0.0,0.0,0.326
Gestionnaire Paie,Juriste Affaires 4ans,0.4129,0.0,1.0,1.0,0.4129,0.45,0.3,0.0,0.0,0.0,0.2328
Gestionnaire Paie,Juriste Social 6ans,0.5005,0.2,1.0,1.0,0.5005,1.0,0.3,0.0,0.0,0.0,0.3221
Gestionnaire Paie,Juriste Junior,0.3482,0.0,0.4,1.0,0.3482,0.45,0.3,0.0,0.0,0.0,0.1607
Juriste Droit des Affaires,Comptable 5ans,0.372,0.0,1.0,1.0,0.372,0.45,0.3,0.0,0.0,0.5,0.2271
Juriste Droit des Affaires,Contrôleur Gestion 3ans,0.35,0.0,0.9,1.0,0.35,0.45,0.3,0.0,0.0,0.5,0.2135
Juriste Droit des Affaires,Auditeur 2ans,0.331,0.0,0.5333,0.6,0.331,0.45,0.3,0.0,0.0,0.5,0.1443
Juriste Droit des Affaires,Analyste Financier 3ans,0.3871,0.0,0.9,1.0,0.3871,0.45,0.3,0.0,0.0,0.5,0.2187
Juriste Droit des Affaires,Chargée RH 3ans,0.4191,0.0,0.9,0.6,0.4191,0.75,0.3,0.0,0.0,0.5,0.1952
Juriste Droit des Affaires,Responsable RH 7ans,0.4198,0.0,1.0,1.0,0.4198,0.75,0.3,0.0,0.0,0.5,0.2338
Juriste Droit des Affaires,Gestionnaire Paie 2ans,0.4279,0.0,0.5333,0.6,0.4279,0.75,0.3,0.0,0.0,0.5,0.1579
Juriste Droit des Affaires,Recruteur Junior,0.3068,0.0,0.2667,0.6,0.3068,0.75,0.3,0.0,0.0,0.5,0.113
Juriste Droit Social Senior,Comptable 5ans,0.3745,0.0,0.6667,1.0,0.3745,0.75,0.3,0.0,0.0,1.0,0.1924
Juriste Droit Social Senior,Contrôleur Gestion 3ans,0.3526,0.0,0.4,1.0,0.3526,0.75,0.3,0.0,0.0,1.0,0.1614
Juriste Droit Social Senior,Auditeur 2ans,0.3422,0.0,0.2667,0.6,0.3422,0.75,0.3,0.0,0.0,1.0,0.1179
Juriste Droit Social Senior,Analyste Financier 3ans,0.3753,0.0,0.4,1.0,0.3753,0.75,0.3,0.0,0.0,1.0,0.1645
Juriste Droit Social Senior,Chargée RH 3ans,0.475,0.25,0.4,0.6,0.475,1.0,0.3,1.0,1.0,1.0,0.2468
