offre,candidat,sem_bge,comp_bge,exp_bge,form_bge,sem_v2,skills_raw,edu_gap,label
Ingénieur Backend Python FastAPI,Designer UX/UI Figma,0.503,0.0,0.115,0.0,0.503,0.0,0.4,0.032
Ingénieur Backend Python FastAPI,Chef de Projet IT Scrum,0.506,0.0,0.137,0.0,0.506,0.0,0.0,0.054
Ingénieur Backend Python FastAPI,Marketing Digital Expert,0.508,0.088,0.145,0.0,0.508,0.0,0.4,0.032
Ingénieur Backend Python FastAPI,Commercial B2B Salesforce,0.51,0.0,0.128,0.0,0.51,0.0,0.4,0.032
Ingénieur Backend Python FastAPI,Junior Marketing Digital,0.509,0.088,0.143,0.0,0.509,0.0,0.4,0.02
Ingénieur Backend Python FastAPI,Comptable Confirmé SAP,0.501,0.0,0.127,0.0,0.501,0.0,0.0,0.054
Ingénieur Backend Python FastAPI,Contrôleur de Gestion,0.502,0.0,0.142,0.0,0.502,0.0,0.0,0.054
Ingénieur Backend Python FastAPI,Chargé RH Recrutement IT,0.507,0.0,0.139,0.0,0.507,0.0,0.4,0.032
Ingénieur Backend Python FastAPI,Médecin Généraliste,0.5,0.0,0.105,0.0,0.5,0.0,-0.6,0.054
Ingénieur Backend Python FastAPI,Enseignant Mathématiques,0.5,0.0,0.106,0.0,0.5,0.0,0.0,0.054
Ingénieur Backend Python FastAPI,Juriste Droit des Affaires,0.5,0.0,0.132,0.0,0.5,0.0,0.0,0.054
Ingénieur Backend Python FastAPI,Ingénieur Civil BTP,0.501,0.0,0.138,0.0,0.501,0.0,0.0,0.054
Ingénieur Backend Python FastAPI,Commercial Vente Retail,0.503,0.0,0.115,0.0,0.503,0.0,0.4,0.032
Ingénieur Backend Python FastAPI,Étudiant Première Année,0.567,0.238,0.185,0.0,0.567,0.125,0.8,0.02
Développeur Backend Python Django,Senior Backend Python FastAPI,0.645,0.85,0.4,0.0,0.645,0.75,0.0,0.8625
Développeur Backend Python Django,Mid Backend Python Django,0.725,1.0,0.447,0.0,0.725,1.0,0.0,0.95
Développeur Backend Python Django,Junior Python Flask,0.506,0.6,0.314,0.0,0.506,0.25,0.4,0.1652
Développeur Backend Python Django,Python Data + Backend,0.626,0.7,0.381,0.0,0.626,0.5,0.0,0.725
Développeur Backend Python Django,Senior Java Spring Boot,0.511,0.375,0.272,0.0,0.511,0.375,0.0,0.6562
Développeur Backend Python Django,Mid Java Spring,0.513,0.5,0.336,0.0,0.513,0.5,0.0,0.725
Développeur Backend Python Django,Junior Java Angular Stage,0.511,0.362,0.237,0.0,0.511,0.25,0.2,0.1571
Développeur Backend Python Django,Senior Node.js Express,0.515,0.588,0.334,0.0,0.515,0.5,0.4,0.4644
Développeur Backend Python Django,Full Stack Node React,0.51,0.5,0.335,0.0,0.51,0.5,0.0,0.725
Développeur Backend Python Django,Développeur PHP Laravel Senior,0.564,0.375,0.299,0.0,0.564,0.375,0.4,0.4149
Développeur Backend Python Django,Junior PHP Symfony,0.506,0.125,0.169,0.0,0.506,0.125,0.4,0.0678
Développeur Backend Python Django,Développeur .NET C# Senior,0.558,0.375,0.291,0.0,0.558,0.375,0.0,0.6562
Développeur Backend Python Django,Senior Frontend React,0.507,0.25,0.241,0.0,0.507,0.25,0.4,0.2192
Développeur Backend Python Django,Mid Frontend React Redux,0.505,0.25,0.236,0.0,0.505,0.25,0.0,0.3525
Développeur Backend Python Django,Junior Frontend JavaScript,0.505,0.125,0.194,0.0,0.505,0.125,0.6,0.0452
Développeur Backend Python Django,Senior Angular TypeScript,0.507,0.338,0.263,0.0,0.507,0.25,0.0,0.3525
Développeur Backend Python Django,Développeur Flutter Senior,0.521,0.25,0.216,0.0,0.521,0.25,0.4,0.2192
Développeur Backend Python Django,Développeur Android Kotlin,0.518,0.25,0.218,0.0,0.518,0.25,0.0,0.3525
Développeur Backend Python Django,Junior Mobile React Native,0.506,0.25,0.2,0.0,0.506,0.25,0.4,0.1652
Développeur Backend Python Django,Senior Data Scientist,0.504,0.562,0.336,0.0,0.504,0.25,0.0,0.3525
Développeur Backend Python Django,ML Engineer MLOps,0.507,0.488,0.301,0.0,0.507,0.375,0.0,0.6562
Développeur Backend Python Django,Data Analyst Junior,0.502,0.475,0.312,0.0,0.502,0.25,0.4,0.1652
Développeur Backend Python Django,Data Analyst Senior BI,0.501,0.475,0.312,0.0,0.501,0.25,0.0,0.3525
Développeur Backend Python Django,Data Engineer Spark,0.508,0.6,0.321,0.0,0.508,0.375,0.0,0.6562
Développeur Backend Python Django,Stage Data Science,0.511,0.475,0.289,0.0,0.511,0.25,0.2,0.1571
Développeur Backend Python Django,Senior DevOps AWS,0.508,0.25,0.238,0.0,0.508,0.25,0.0,0.3525
Développeur Backend Python Django,Ingénieur Cloud Azure,0.503,0.25,0.217,0.0,0.503,0.25,0.0,0.3525
Développeur Backend Python Django,SRE Kubernetes Linux,0.51,0.488,0.312,0.0,0.51,0.375,0.0,0.6562
Développeur Backend Python Django,Junior DevOps CI/CD,0.514,0.25,0.257,0.0,0.514,0.25,0.0,0.2775
Développeur Backend Python Django,Analyste Sécurité Pentester,0.501,0.238,0.223,0.0,0.501,0.125,0.0,0.1556
Développeur Backend Python Django,Analyste SOC SIEM,0.5,0.0,0.141,0.0,0.5,0.0,0.0,0.054
Développeur Backend Python Django,Ingénieur QA Automation,0.513,0.488,0.305,0.0,0.513,0.375,0.0,0.6562
Développeur Backend Python Django,Designer UX/UI Figma,0.501,0.0,0.106,0.0,0.501,0.0,0.4,0.032
Développeur Backend Python Django,Chef de Projet IT Scrum,0.502,0.0,0.136,0.0,0.502,0.0,0.0,0.054
Développeur Backend Python Django,Marketing Digital Expert,0.501,0.088,0.151,0.0,0.501,0.0,0.4,0.032
Développeur Backend Python Django,Commercial B2B Salesforce,0.501,0.0,0.126,0.0,0.501,0.0,0.4,0.032
Développeur Backend Python Django,Junior Marketing Digital,0.501,0.088,0.149,0.0,0.501,0.0,0.4,0.0212
Développeur Backend Python Django,Comptable Confirmé SAP,0.5,0.0,0.127,0.0,0.5,0.0,0.0,0.054
Développeur Backend Python Django,Contrôleur de Gestion,0.5,0.0,0.135,0.0,0.5,0.0,0.0,0.054
Développeur Backend Python Django,Chargé RH Recrutement IT,0.5,0.0,0.135,0.0,0.5,0.0,0.4,0.032
Développeur Backend Python Django,Médecin Généraliste,0.5,0.0,0.102,0.0,0.5,0.0,-0.6,0.054
Développeur Backend Python Django,Enseignant Mathématiques,0.5,0.0,0.118,0.0,0.5,0.0,0.0,0.054
Développeur Backend Python Django,Juriste Droit des Affaires,0.5,0.0,0.129,0.0,0.5,0.0,0.0,0.054
Développeur Backend Python Django,Ingénieur Civil BTP,0.5,0.0,0.133,0.0,0.5,0.0,0.0,0.054
Développeur Backend Python Django,Commercial Vente Retail,0.5,0.0,0.119,0.0,0.5,0.0,0.4,0.032
Développeur Backend Python Django,Étudiant Première Année,0.506,0.238,0.182,0.0,0.506,0.125,0.8,0.02
Développeur Backend Java Spring Boot,Senior Backend Python FastAPI,0.52,0.488,0.358,0.0,0.52,0.375,0.0,0.6562
Développeur Backend Java Spring Boot,Mid Backend Python Django,0.518,0.6,0.359,0.0,0.518,0.375,0.0,0.5312
Développeur Backend Java Spring Boot,Junior Python Flask,0.504,0.488,0.29,0.0,0.504,0.25,0.4,0.1382
Développeur Backend Java Spring Boot,Python Data + Backend,0.555,0.338,0.294,0.0,0.555,0.25,0.0,0.315
Développeur Backend Java Spring Boot,Senior Java Spring Boot,0.712,0.85,0.413,0.0,0.712,0.875,0.0,0.9313
Développeur Backend Java Spring Boot,Mid Java Spring,0.678,0.862,0.402,0.0,0.678,0.75,0.0,0.8
Développeur Backend Java Spring Boot,Junior Java Angular Stage,0.574,0.725,0.311,0.0,0.574,0.5,0.2,0.3828
Développeur Backend Java Spring Boot,Senior Node.js Express,0.509,0.375,0.287,0.0,0.509,0.375,0.4,0.4149
Développeur Backend Java Spring Boot,Full Stack Node React,0.509,0.6,0.315,0.0,0.509,0.375,0.0,0.5938
Développeur Backend Java Spring Boot,Développeur PHP Laravel Senior,0.566,0.588,0.35,0.0,0.566,0.5,0.4,0.4194
Développeur Backend Java Spring Boot,Junior PHP Symfony,0.507,0.338,0.229,0.0,0.507,0.25,0.4,0.1382
Développeur Backend Java Spring Boot,Développeur .NET C# Senior,0.54,0.375,0.304,0.0,0.54,0.375,0.0,0.6562
Développeur Backend Java Spring Boot,Senior Frontend React,0.506,0.338,0.254,0.0,0.506,0.25,0.4,0.1922
Développeur Backend Java Spring Boot,Mid Frontend React Redux,0.503,0.338,0.246,0.0,0.503,0.25,0.0,0.2775
Développeur Backend Java Spring Boot,Junior Frontend JavaScript,0.51,0.212,0.228,0.0,0.51,0.125,0.6,0.0349
Développeur Backend Java Spring Boot,Senior Angular TypeScript,0.506,0.338,0.251,0.0,0.506,0.25,0.0,0.3525
Développeur Backend Java Spring Boot,Développeur Flutter Senior,0.519,0.362,0.262,0.0,0.519,0.25,0.4,0.1922
Développeur Backend Java Spring Boot,Développeur Android Kotlin,0.51,0.362,0.266,0.0,0.51,0.25,0.0,0.315
Développeur Backend Java Spring Boot,Junior Mobile React Native,0.505,0.338,0.233,0.0,0.505,0.25,0.4,0.1382
Développeur Backend Java Spring Boot,Senior Data Scientist,0.501,0.325,0.259,0.0,0.501,0.125,0.0,0.1556
Développeur Backend Java Spring Boot,ML Engineer MLOps,0.504,0.375,0.275,0.0,0.504,0.375,0.0,0.5938
Développeur Backend Java Spring Boot,Data Analyst Junior,0.501,0.238,0.212,0.0,0.501,0.125,0.4,0.0543
Développeur Backend Java Spring Boot,Data Analyst Senior BI,0.501,0.238,0.217,0.0,0.501,0.125,0.0,0.1556
Développeur Backend Java Spring Boot,Data Engineer Spark,0.504,0.362,0.272,0.0,0.504,0.25,0.0,0.3525
Développeur Backend Java Spring Boot,Stage Data Science,0.504,0.238,0.197,0.0,0.504,0.125,0.2,0.0604
Développeur Backend Java Spring Boot,Senior DevOps AWS,0.511,0.375,0.3,0.0,0.511,0.375,0.0,0.6562
Développeur Backend Java Spring Boot,Ingénieur Cloud Azure,0.504,0.375,0.269,0.0,0.504,0.375,0.0,0.6562
Développeur Backend Java Spring Boot,SRE Kubernetes Linux,0.514,0.375,0.28,0.0,0.514,0.375,0.0,0.6562
Développeur Backend Java Spring Boot,Junior DevOps CI/CD,0.527,0.375,0.311,0.0,0.527,0.375,0.0,0.4688
Développeur Backend Java Spring Boot,Analyste Sécurité Pentester,0.501,0.0,0.144,0.0,0.501,0.0,0.0,0.0465
Développeur Backend Java Spring Boot,Analyste SOC SIEM,0.501,0.0,0.147,0.0,0.501,0.0,0.0,0.039
Développeur Backend Java Spring Boot,Ingénieur QA Automation,0.505,0.6,0.319,0.0,0.505,0.375,0.0,0.5938
Développeur Backend Java Spring Boot,Designer UX/UI Figma,0.501,0.0,0.106,0.0,0.501,0.0,0.4,0.0266
Développeur Backend Java Spring Boot,Chef de Projet IT Scrum,0.502,0.0,0.144,0.0,0.502,0.0,0.0,0.054
Développeur Backend Java Spring Boot,Marketing Digital Expert,0.501,0.088,0.147,0.0,0.501,0.0,0.4,0.0266
Développeur Backend Java Spring Boot,Commercial B2B Salesforce,0.501,0.0,0.132,0.0,0.501,0.0,0.4,0.032
Développeur Backend Java Spring Boot,Junior Marketing Digital,0.502,0.088,0.149,0.0,0.502,0.0,0.4,0.02
Développeur Backend Java Spring Boot,Comptable Confirmé SAP,0.5,0.0,0.133,0.0,0.5,0.0,0.0,0.054
Développeur Backend Java Spring Boot,Contrôleur de Gestion,0.5,0.0,0.133,0.0,0.5,0.0,0.0,0.054
Développeur Backend Java Spring Boot,Chargé RH Recrutement IT,0.501,0.0,0.136,0.0,0.501,0.0,0.4,0.0266
Développeur Backend Java Spring Boot,Médecin Généraliste,0.5,0.0,0.11,0.0,0.5,0.0,-0.6,0.054
Développeur Backend Java Spring Boot,Enseignant Mathématiques,0.5,0.0,0.119,0.0,0.5,0.0,0.0,0.054
Développeur Backend Java Spring Boot,Juriste Droit des Affaires,0.5,0.0,0.141,0.0,0.5,0.0,0.0,0.054
Développeur Backend Java Spring Boot,Ingénieur Civil BTP,0.5,0.0,0.136,0.0,0.5,0.0,0.0,0.054
Développeur Backend Java Spring Boot,Commercial Vente Retail,0.5,0.0,0.119,0.0,0.5,0.0,0.4,0.032
Développeur Backend Java Spring Boot,Étudiant Première Année,0.503,0.0,0.111,0.0,0.503,0.0,0.8,0.02
Développeur Backend Node.js,Senior Backend Python FastAPI,0.551,0.725,0.346,0.0,0.551,0.5,-0.4,0.725
Développeur Backend Node.js,Mid Backend Python Django,0.564,0.613,0.355,0.0,0.564,0.5,-0.4,0.6417
Développeur Backend Node.js,Junior Python Flask,0.503,0.362,0.241,0.0,0.503,0.125,0.0,0.1056
Développeur Backend Node.js,Python Data + Backend,0.554,0.338,0.275,0.0,0.554,0.25,-0.4,0.3525
Développeur Backend Node.js,Senior Java Spring Boot,0.522,0.375,0.273,0.0,0.522,0.5,-0.4,0.725
Développeur Backend Node.js,Mid Java Spring,0.519,0.488,0.338,0.0,0.519,0.375,-0.4,0.6562
Développeur Backend Node.js,Junior Java Angular Stage,0.514,0.25,0.205,0.0,0.514,0.25,-0.2,0.2025
Développeur Backend Node.js,Senior Node.js Express,0.713,0.85,0.421,0.0,0.713,1.0,0.0,0.95
Développeur Backend Node.js,Full Stack Node React,0.586,0.738,0.391,0.0,0.586,0.75,-0.4,0.8625
Développeur Backend Node.js,Développeur PHP Laravel Senior,0.581,0.6,0.332,0.0,0.581,0.375,0.0,0.6562
Développeur Backend Node.js,Junior PHP Symfony,0.505,0.35,0.222,0.0,0.505,0.125,0.0,0.1056
Développeur Backend Node.js,Développeur .NET C# Senior,0.593,0.375,0.294,0.0,0.593,0.375,-0.4,0.6562
Développeur Backend Node.js,Senior Frontend React,0.514,0.475,0.341,0.0,0.514,0.375,0.0,0.6562
Développeur Backend Node.js,Mid Frontend React Redux,0.514,0.475,0.336,0.0,0.514,0.375,-0.4,0.5729
Développeur Backend Node.js,Junior Frontend JavaScript,0.509,0.35,0.275,0.0,0.509,0.125,0.2,0.0754
Développeur Backend Node.js,Senior Angular TypeScript,0.513,0.562,0.331,0.0,0.513,0.375,-0.4,0.6562
Développeur Backend Node.js,Développeur Flutter Senior,0.529,0.25,0.228,0.0,0.529,0.25,0.0,0.3525
Développeur Backend Node.js,Développeur Android Kotlin,0.533,0.25,0.222,0.0,0.533,0.25,-0.4,0.3525
Développeur Backend Node.js,Junior Mobile React Native,0.509,0.475,0.306,0.0,0.509,0.25,0.0,0.2525
Développeur Backend Node.js,Senior Data Scientist,0.503,0.212,0.2,0.0,0.503,0.125,-0.4,0.1556
Développeur Backend Node.js,ML Engineer MLOps,0.504,0.25,0.213,0.0,0.504,0.25,-0.4,0.3525
Développeur Backend Node.js,Data Analyst Junior,0.501,0.125,0.166,0.0,0.501,0.125,0.0,0.1056
Développeur Backend Node.js,Data Analyst Senior BI,0.501,0.125,0.165,0.0,0.501,0.125,-0.4,0.1556
Développeur Backend Node.js,Data Engineer Spark,0.506,0.25,0.218,0.0,0.506,0.25,-0.4,0.3525
Développeur Backend Node.js,Stage Data Science,0.505,0.125,0.152,0.0,0.505,0.125,-0.2,0.0806
Développeur Backend Node.js,Senior DevOps AWS,0.516,0.25,0.234,0.0,0.516,0.25,-0.4,0.3525
Développeur Backend Node.js,Ingénieur Cloud Azure,0.506,0.25,0.212,0.0,0.506,0.25,-0.4,0.3525
Développeur Backend Node.js,SRE Kubernetes Linux,0.506,0.25,0.219,0.0,0.506,0.25,-0.4,0.3525
Développeur Backend Node.js,Junior DevOps CI/CD,0.518,0.25,0.253,0.0,0.518,0.25,-0.4,0.2525
Développeur Backend Node.js,Analyste Sécurité Pentester,0.501,0.0,0.134,0.0,0.501,0.0,-0.4,0.054
Développeur Backend Node.js,Analyste SOC SIEM,0.501,0.0,0.138,0.0,0.501,0.0,-0.4,0.044
Développeur Backend Node.js,Ingénieur QA Automation,0.504,0.25,0.208,0.0,0.504,0.25,-0.4,0.3525
Développeur Backend Node.js,Designer UX/UI Figma,0.503,0.0,0.111,0.0,0.503,0.0,0.0,0.054
Développeur Backend Node.js,Chef de Projet IT Scrum,0.504,0.0,0.135,0.0,0.504,0.0,-0.4,0.054
Développeur Backend Node.js,Marketing Digital Expert,0.502,0.088,0.16,0.0,0.502,0.0,0.0,0.054
Développeur Backend Node.js,Commercial B2B Salesforce,0.501,0.0,0.126,0.0,0.501,0.0,0.0,0.054
Développeur Backend Node.js,Junior Marketing Digital,0.504,0.088,0.146,0.0,0.504,0.0,0.0,0.034
Développeur Backend Node.js,Comptable Confirmé SAP,0.5,0.0,0.121,0.0,0.5,0.0,-0.4,0.054
Développeur Backend Node.js,Contrôleur de Gestion,0.5,0.0,0.125,0.0,0.5,0.0,-0.4,0.054
Développeur Backend Node.js,Chargé RH Recrutement IT,0.501,0.0,0.128,0.0,0.501,0.0,0.0,0.054
Développeur Backend Node.js,Médecin Généraliste,0.5,0.0,0.096,0.0,0.5,0.0,-1.0,0.054
Développeur Backend Node.js,Enseignant Mathématiques,0.5,0.0,0.109,0.0,0.5,0.0,-0.4,0.054
Développeur Backend Node.js,Juriste Droit des Affaires,0.5,0.0,0.134,0.0,0.5,0.0,-0.4,0.054
Développeur Backend Node.js,Ingénieur Civil BTP,0.5,0.0,0.13,0.0,0.5,0.0,-0.4,0.054
Développeur Backend Node.js,Commercial Vente Retail,0.5,0.0,0.116,0.0,0.5,0.0,0.0,0.054
Développeur Backend Node.js,Étudiant Première Année,0.503,0.0,0.108,0.0,0.503,0.0,0.4,0.02
Développeur PHP Laravel,Senior Backend Python FastAPI,0.509,0.7,0.344,0.0,0.509,0.4286,-0.4,0.6857
Développeur PHP Laravel,Mid Backend Python Django,0.514,0.686,0.365,0.0,0.514,0.4286,-0.4,0.6857
Développeur PHP Laravel,Junior Python Flask,0.506,0.557,0.337,0.0,0.506,0.2857,0.0,0.2893
Développeur PHP Laravel,Python Data + Backend,0.509,0.386,0.301,0.0,0.509,0.2857,-0.4,0.3643
Développeur PHP Laravel,Senior Java Spring Boot,0.522,0.714,0.342,0.0,0.522,0.5714,-0.4,0.7643
Développeur PHP Laravel,Mid Java Spring,0.516,0.829,0.363,0.0,0.516,0.4286,-0.4,0.6857
Développeur PHP Laravel,Junior Java Angular Stage,0.511,0.557,0.288,0.0,0.511,0.2857,-0.2,0.2143
Développeur PHP Laravel,Senior Node.js Express,0.512,0.429,0.347,0.0,0.512,0.4286,0.0,0.6857
Développeur PHP Laravel,Full Stack Node React,0.508,0.829,0.338,0.0,0.508,0.4286,-0.4,0.6857
Développeur PHP Laravel,Développeur PHP Laravel Senior,0.727,0.85,0.447,0.0,0.727,1.0,0.0,0.95
Développeur PHP Laravel,Junior PHP Symfony,0.523,0.7,0.325,0.0,0.523,0.5714,0.0,0.6393
Développeur PHP Laravel,Développeur .NET C# Senior,0.543,0.429,0.362,0.0,0.543,0.4286,-0.4,0.6857
Développeur PHP Laravel,Senior Frontend React,0.51,0.429,0.337,0.0,0.51,0.4286,0.0,0.6857
Développeur PHP Laravel,Mid Frontend React Redux,0.507,0.429,0.321,0.0,0.507,0.4286,-0.4,0.6857
Développeur PHP Laravel,Junior Frontend JavaScript,0.514,0.286,0.278,0.0,0.514,0.2857,0.2,0.2194
Développeur PHP Laravel,Senior Angular TypeScript,0.51,0.529,0.334,0.0,0.51,0.4286,-0.4,0.6857
Développeur PHP Laravel,Développeur Flutter Senior,0.529,0.286,0.264,0.0,0.529,0.2857,0.0,0.3643
Développeur PHP Laravel,Développeur Android Kotlin,0.523,0.286,0.249,0.0,0.523,0.2857,-0.4,0.3643
Développeur PHP Laravel,Junior Mobile React Native,0.506,0.429,0.311,0.0,0.506,0.4286,0.0,0.5607
Développeur PHP Laravel,Senior Data Scientist,0.502,0.371,0.27,0.0,0.502,0.1429,-0.4,0.1586
Développeur PHP Laravel,ML Engineer MLOps,0.505,0.286,0.245,0.0,0.505,0.2857,-0.4,0.3643
Développeur PHP Laravel,Data Analyst Junior,0.501,0.271,0.221,0.0,0.501,0.1429,0.0,0.1211
Développeur PHP Laravel,Data Analyst Senior BI,0.501,0.271,0.224,0.0,0.501,0.1429,-0.4,0.1586
Développeur PHP Laravel,Data Engineer Spark,0.505,0.414,0.318,0.0,0.505,0.2857,-0.4,0.3643
Développeur PHP Laravel,Stage Data Science,0.504,0.271,0.198,0.0,0.504,0.1429,-0.2,0.0836
Développeur PHP Laravel,Senior DevOps AWS,0.511,0.286,0.256,0.0,0.511,0.2857,-0.4,0.3643
Développeur PHP Laravel,Ingénieur Cloud Azure,0.504,0.286,0.24,0.0,0.504,0.2857,-0.4,0.3643
Développeur PHP Laravel,SRE Kubernetes Linux,0.508,0.286,0.246,0.0,0.508,0.2857,-0.4,0.3643
Développeur PHP Laravel,Junior DevOps CI/CD,0.516,0.286,0.273,0.0,0.516,0.2857,-0.4,0.2893
Développeur PHP Laravel,Analyste Sécurité Pentester,0.501,0.0,0.149,0.0,0.501,0.0,-0.4,0.054
Développeur PHP Laravel,Analyste SOC SIEM,0.501,0.0,0.14,0.0,0.501,0.0,-0.4,0.054
Développeur PHP Laravel,Ingénieur QA Automation,0.504,0.429,0.313,0.0,0.504,0.2857,-0.4,0.3643
Développeur PHP Laravel,Designer UX/UI Figma,0.502,0.0,0.122,0.0,0.502,0.0,0.0,0.054
Développeur PHP Laravel,Chef de Projet IT Scrum,0.502,0.0,0.142,0.0,0.502,0.0,-0.4,0.054
Développeur PHP Laravel,Marketing Digital Expert,0.502,0.1,0.168,0.0,0.502,0.0,0.0,0.054
Développeur PHP Laravel,Commercial B2B Salesforce,0.501,0.0,0.134,0.0,0.501,0.0,0.0,0.054
Développeur PHP Laravel,Junior Marketing Digital,0.502,0.1,0.163,0.0,0.502,0.0,0.0,0.039
Développeur PHP Laravel,Comptable Confirmé SAP,0.5,0.0,0.131,0.0,0.5,0.0,-0.4,0.054
Développeur PHP Laravel,Contrôleur de Gestion,0.5,0.0,0.132,0.0,0.5,0.0,-0.4,0.054
Développeur PHP Laravel,Chargé RH Recrutement IT,0.501,0.0,0.146,0.0,0.501,0.0,0.0,0.054
Développeur PHP Laravel,Médecin Généraliste,0.5,0.0,0.112,0.0,0.5,0.0,-1.0,0.054
Développeur PHP Laravel,Enseignant Mathématiques,0.5,0.0,0.114,0.0,0.5,0.0,-0.4,0.054
Développeur PHP Laravel,Juriste Droit des Affaires,0.5,0.0,0.147,0.0,0.5,0.0,-0.4,0.054
Développeur PHP Laravel,Ingénieur Civil BTP,0.5,0.0,0.137,0.0,0.5,0.0,-0.4,0.054
Développeur PHP Laravel,Commercial Vente Retail,0.5,0.0,0.123,0.0,0.5,0.0,0.0,0.054
Développeur PHP Laravel,Étudiant Première Année,0.505,0.0,0.119,0.0,0.505,0.0,0.4,0.02
Développeur .NET C# Backend,Senior Backend Python FastAPI,0.516,0.375,0.304,0.0,0.516,0.375,0.0,0.6562
Développeur .NET C# Backend,Mid Backend Python Django,0.511,0.5,0.336,0.0,0.511,0.375,0.0,0.5729
Développeur .NET C# Backend,Junior Python Flask,0.501,0.375,0.244,0.0,0.501,0.25,0.4,0.1472
Développeur .NET C# Backend,Python Data + Backend,0.525,0.338,0.277,0.0,0.525,0.25,0.0,0.3525
Développeur .NET C# Backend,Senior Java Spring Boot,0.507,0.375,0.279,0.0,0.507,0.375,0.0,0.6562
Développeur .NET C# Backend,Mid Java Spring,0.506,0.5,0.343,0.0,0.506,0.375,0.0,0.6562
Développeur .NET C# Backend,Junior Java Angular Stage,0.508,0.375,0.246,0.0,0.508,0.375,0.2,0.3223
Développeur .NET C# Backend,Senior Node.js Express,0.509,0.375,0.29,0.0,0.509,0.375,0.4,0.4149
